call_id,origin,source_dataset,source_group,name,category,sub_category,description,midi_path,source_file,track_index,track_name,start_sec,end_sec,start_tick,end_tick,bpm,meter,bars,duration_sec,note_count,pitch_min,pitch_max,pitch_range,onset_density,mean_ioi,std_ioi,polyphony_rate,has_chord,has_pause,max_internal_pause,has_repetition_tail,has_chromatic_outside,key_root_pc,key_mode,scale_fit,license_note,citation_key,split,fingerprint_sha1
A01,artificial_stress,calls_50,existing_call50,c_pentatonic_balanced,pentatonic_clear_motif,copied_from_call50,Two-bar C major pentatonic motif with balanced upward and downward motion.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A01_c_pentatonic_balanced.mid,D:\Mickey\MFP\ab_tests\calls_50\A01_c_pentatonic_balanced.mid,,,0,4.8,0,3840,100,4/4,2,4.8,14,60,69,9,2.916667,0.334615,0.108547,0,false,false,0.075,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,564dcafbeeb8b9591e3bb90b48c9b9adf594e726
A02,artificial_stress,calls_50,existing_call50,a_minor_pentatonic_question,modal_question,copied_from_call50,"A minor pentatonic call ending high, designed as an unanswered question.",D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A02_a_minor_pentatonic_question.mid,D:\Mickey\MFP\ab_tests\calls_50\A02_a_minor_pentatonic_question.mid,,,0,5.217392,0,3840,91.999988,4/4,2,5.217392,12,57,69,12,2.3,0.400198,0.141005,0,false,false,0.163043,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,dfd2fb3cbd848cf80d01de80329f7ee3cc9ddfe8
A03,artificial_stress,calls_50,existing_call50,a_blues_tension,blues_chromatic,copied_from_call50,A blues-oriented call with flat-third and blue-note chromatic tension.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A03_a_blues_tension.mid,D:\Mickey\MFP\ab_tests\calls_50\A03_a_blues_tension.mid,,,0,4.444448,0,3840,107.999914,4/4,2,4.444448,13,57,67,10,2.924998,0.300926,0.136946,0,false,false,0.277778,false,true,7,minor,0.923077,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,9bd8a929d6c91ccbdb649c2a22248f811be12c35
A04,artificial_stress,calls_50,existing_call50,classical_antecedent,antecedent_half_cadence,copied_from_call50,Classical antecedent phrase ending on the dominant to invite resolution.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A04_classical_antecedent.mid,D:\Mickey\MFP\ab_tests\calls_50\A04_classical_antecedent.mid,,,0,4.8,0,3840,100,4/4,2,4.8,10,60,67,7,2.083333,0.45,0.209165,0,false,false,0.15,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,8041a97b5ec669a1ae409705f871861c16c60788
A05,artificial_stress,calls_50,existing_call50,repetition_tail,repetition_stress_test,copied_from_call50,Normal opening followed by a repeated A tail to test anti-copy controls.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A05_repetition_tail.mid,D:\Mickey\MFP\ab_tests\calls_50\A05_repetition_tail.mid,,,0,4.615384,0,3840,104.000014,4/4,2,4.615384,12,60,69,9,2.6,0.327797,0.197768,0,false,false,0.432692,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,6d9a30a16999d7a9cd3f0ee38d11e8f4b1f7a8a0
A06,artificial_stress,calls_50,existing_call50,syncopated_pop,syncopation,copied_from_call50,Pentatonic call with off-beat entries and tied-feeling durations.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A06_syncopated_pop.mid,D:\Mickey\MFP\ab_tests\calls_50\A06_syncopated_pop.mid,,,0,4.528304,0,3840,105.999951,4/4,2,4.528304,12,60,69,9,2.649999,0.37307,0.090966,0,false,false,0.212264,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,d4b82ac84bebbf1bf0164f5a08a9f8aaf16cb939
A07,artificial_stress,calls_50,existing_call50,sparse_long_tones,sparse_cadential,copied_from_call50,Sparse long-tone call testing whether responses avoid over-fragmentation.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A07_sparse_long_tones.mid,D:\Mickey\MFP\ab_tests\calls_50\A07_sparse_long_tones.mid,,,0,5.454544,0,3840,88.000023,4/4,2,5.454544,6,60,69,9,1.1,0.954545,0.173831,0,false,false,0.340909,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,6d3b2ba66fa637596669e04cd426e5e78848950d
A08,artificial_stress,calls_50,existing_call50,dense_eighth_motion,dense_motion,copied_from_call50,Dense eighth-note pentatonic motion testing rhythmic stability and note count control.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A08_dense_eighth_motion.mid,D:\Mickey\MFP\ab_tests\calls_50\A08_dense_eighth_motion.mid,,,0,4.285712,0,3840,112.00006,4/4,2,4.285712,16,60,69,9,3.733335,0.267857,0,0,false,false,0,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,46b21af442086cef01a22393eb764bbd1382f778
A09,artificial_stress,calls_50,existing_call50,arched_contour,arched_contour,copied_from_call50,"Clear arch contour rising to a peak then returning, testing contour continuation.",D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A09_arched_contour.mid,D:\Mickey\MFP\ab_tests\calls_50\A09_arched_contour.mid,,,0,5,0,3840,96,4/4,2,5,11,55,72,17,2.2,0.40625,0.143205,0,false,false,0.3125,true,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,29270484ca40db32042945a293c732b765e1e33b
A10,artificial_stress,calls_50,existing_call50,leap_gap_fill,large_leap_gap_fill,copied_from_call50,Large leaps followed by opposite stepwise gap-fill motion.,D:\Mickey\MFP\ab_tests\calls_100_public_final\calls\A10_leap_gap_fill.mid,D:\Mickey\MFP\ab_tests\calls_50\A10_leap_gap_fill.mid,,,0,4.8,0,3840,100,4/4,2,4.8,13,55,76,21,2.708333,0.35,0.111803,0,false,false,0.15,false,false,0,major,1,Existing local Call50 benchmark material copied without modifying calls_50.,call50_manifest,base_call50,b71a383ea9e9ace0a95e83659afa7dbd194541bf
